Author,Comment,Likes,RelativeTimestamp,Timestamp
@darklight9448,This is basically a tracker of Billie getting happier and more herself over time. It’s the most beautiful thing ever,7100,2 years ago,2023-08
@StephASMR,"“I miss all the you’s” - I love this. It’s the perfect thing to express what it’s like for your children to grow up. You miss each little person that they were, and the way the relationship was, whilst simultaneously loving who they have become and being insanely proud. Ooooh.. crying buckets",11000,2 years ago,2023-08
@Bellachris75,"I love how there are so many people that are not even die-hard fans of Billie or don’t follow her at all that still come together every year to see her growth on the Vanity Fair videos and being so proud of her like older siblings. 

I think it beautiful.",31000,2 years ago (edited),2023-08
@That_one_specific_dude,Its a crime we never got 2023 Billie VF,8200,1 year ago,2024-08
@mh7915,Billie hugging her mom every year is my favorite part. It’s so sweet and wholesome,16000,2 years ago,2023-08
@izzy5560,"It’s crazy how she’s done this for six years straight, it’s amazing to see how far she’s come",21000,2 years ago (edited),2023-08
@MightyMattTM,This year hit different. She seems like a totally different person. I'm happy for her.,8800,2 years ago,2023-08
@hannahroyster,"“It’s October 18th, 2024” IS ALL I’M READY TO HEARRRRRR",767,7 months ago,2025-01
@davinder_more,It’s so crazy seeing the difference in her being able to articulate herself and her emotions better each and every year,7200,2 years ago,2023-08
@sailorvenus72,"Her voice at 20 has matured so much, she doesn’t sound like a teen anymore",4000,2 years ago,2023-08
@jonaysouter,I’d absolutely LOVE a 7th year,4200,1 year ago,2024-08
@baddieaddidas,"Her voice is so different now, she actually SOUNDS happy now, she doesnt just look happy. Shes a totally different person now and im proud of her",4600,2 years ago,2023-08
@amymbeauty8765,"Not gonna lie, her mom's reaction got me all teary, so sweet. She's absolutely right, you might think that the old yous were annoying or cringey, but all of those yous molded you in to what you are now, and that's amazing.",8200,2 years ago,2023-08
@anawiseman,"There's a soothing, comforting, maturity that Billie has now. She's so grounded, but still herself. That's really admirable.",5100,2 years ago,2023-08
@caroline_dsh,"Where is the 2023 and 2024 
I'll never be tired of it",4700,1 year ago,2024-08
@juliafalandocoisas,"I love it when Billie cringes over her past selves, but I love MORE the absolute love in her eyes looking at herself. It's so beautiful",2900,2 years ago,2023-08
@AGSBallTrophy,How is no one talking about the difference in HER EYES!!! Especially compared to the first 3 years! They carry much more life!,4800,2 years ago,2023-08
@papernecklace,"I don't know how, but this video ends up in my recommended every year and I love every second of it. Being the same age as Billie I feel like I am going through the same phases in life, even though our lives are completely different. I love seeing the same ups and downs in Billie as I experience, and strive to become like the Billie in 2022. Thank you Billie Eilish and Vanity Fair for making these series possible. It's truly unique.",8700,2 years ago (edited),2023-08
@Juan-hr2pv,IVE BEEN WAITING A WHOLE YEAR FOR THIS AND IT IS DISCONTINUED?!,1400,1 year ago,2024-08
@KM-vi5eu,I love how she can make fun of her past self while also loving and being proud of herself. I think we can all relate to cringing at old videos but also realizing how far we’ve come.,4000,2 years ago,2023-08
@chorlesteajones6794,The end actually made me tear up. All the clips of her mom being there even at 20 years old. Shows her mom supports everything she does.,4700,2 years ago,2023-08
@pretty.rude.its.not.friday_yet,The way you can literally feel her sadness in the second year.. it’s heartbreaking. So glad she’s better now.,752,2 years ago,2023-08
@envylefae,16:20 i NEED to see her reaction to this now,55,9 months ago,2024-11
@Hoptailful,"She like.... loves herself now.  She has grown so much and you can see it in all the grace, and acceptance, and love for the past versions of herself.  Mum coming in and validating every single stage, so beautiful.  Thanks Billie, Billie's mum, and VF :)  What a gift.",2800,2 years ago,2023-08
@kirstennielsen5832,"Okay, but her mom’s absolutely pure love for EVERY part of EVERY version of Billie THAT IS THE LOVE WE ALL DESERVE",3200,2 years ago,2023-08
@erinfennessy5332,I love how she finally uses her natural talking voice. No more of that cool kid / low raspy “idgaf” voice. She just sounds normal and natural and like she’s not trying to put on a facade with her speaking voice,4400,2 years ago,2023-08
@peachie.21,after wildflower coming out 16:34 seems wild now,457,1 year ago,2024-08
@cubbance,"I feel like this tradition is part of what has kept Billie so grounded throughout her career.  It makes her a more relatable and engaging person, as well as an artist.  I hope she does it forever.",2400,2 years ago,2023-08
@emma-vd4ci,I love that Billie's physical appearance changed a lot over the years but her mom still looks the exact same,2500,2 years ago,2023-08
@TheDocstrangelov,"When Maggie says at the end of the interview, how she misses “all the Billies”. I think we all miss all the Billies. Any parent can relate to this feeling. Especially such a sensitive, creative child. We can all feel pride in how Billie has matured and come into her self, while feeling nostalgic for the openness and vulnerability of her formative years.",4500,2 years ago,2023-08
@summerswensen5418,Im gonna cry. Ive been watching this for 6 years. The first year it started till now. And now their not doing it anymore.,111,1 year ago,2024-08
@avawilliams6169,when her mom came in the end and started saying how she misses billies past self made me cry I’m so proud of Billie and how much shes matured. I’ve been watching these interviews since the first one that was released and it’s crazy to watch them every year and see how she’s grown. ️,1800,2 years ago,2023-08
@anniebunny722,"She’s gotten so much more happier, spunky, witty. She’s like all of us cringing at her past self. I’m glad she looks forward to the interview yearly!",2100,2 years ago,2023-08
@zjs_30,She looked miserable in 2018 and Im so glad we get to see her grow and be genuinely happy,3000,2 years ago,2023-08
@Sammy_Vv,Can't believe this ended in 2022,80,8 months ago,2024-12
@kanzihale1864,"Billie allowing herself to say “.. me” for
 “Who is your favorite artist?” 

felt like a big moment",4000,2 years ago,2023-08
@nairasarin2002,"the way her face dropped for a moment when she saw 2021 Billie talk about her relationship was so heartbreaking, but then it was so beautiful hearing her talk in the present about how grateful she was for it in the past. seeing her grow every year like this is such a special thing to get to witness.",4200,2 years ago,2023-08
@Lydia-dd9bo,I'm not even a Billie fan but I've watched every single one of these since the first video dropped. It's just so fascinating to see her grow up and change and evolve over the years.,2300,2 years ago,2023-08
@ryhhrf6168,I can’t believe she was 15 in 2017!! I completely forgot. It’s crazy to see how far she’s come. So proud of her,41,1 year ago,2024-08
@kayleelands1754,Her voice over time gradually gets lighter and happier. I’m so happy for her. And her growth. I love looking forward to this every year. Please do this every year forever!!!!,3800,2 years ago (edited),2023-08
,This is the best tradition ever ️,15000,2 years ago,2023-08
@sircherry4155,Anyone else not really a fan of Billie Eilish musically but watch these every year to see how much she grows. Inspiring,1600,2 years ago,2023-08
@bicez00,2nd year without this I miss it so muuuuuuchhhh,42,9 months ago,2024-11
@cocob2900,you can totally see how connected she feels to herself and that she’s grown so so much,3500,2 years ago,2023-08
@alyrodriguez,"the way u can literally see her maturity evolve in her hair, clothing, how she speaks  , and all around personality through all the years
she’s grown into such a mature and eloquent young woman and i’m so proud of her for all her growth thru everything she’s gone thru",865,2 years ago (edited),2023-08
@surferdjnj,"She's a smart woman, self aware, and super lucky to have a mom like that.",24,1 year ago,2024-08
@EzzMahameed,The person who created this idea of chronological interviewing at Vanity Fair deserves a HUGE RAISE,636,2 years ago,2023-08
@edenabraham8869,"I know I speak for all of us who’ve been here since 2016, when I say that I feel special and honored to have witnessed these phases of Billie Eilish. What a star.",958,2 years ago,2023-08
@Kimkalinka,"I love it when her mom says that she misses all of her old versions, even the hard ones, that touched me sm. I felt like Billie needed to hear this, because she really need to accept and embrace even the bad things in herself. 
Btw thanks to VF and Billie for this lil tradition",1500,2 years ago (edited),2023-08
@keira8372,"i love how close billie is to her family. everytime maggie comes over give her a hug, i fckn bawl because their relationship is so beautiful and it's something I can't have with my family but want so badly. but at least it's something i can give to my future family.",62,1 year ago,2024-08
